id,name,brand,category,price,specs,description
2001,Máy lạnh Panasonic Inverter 1 HP CU/CS-PU9ZKH-8,PANASONIC,may-lanh,10.590.000đ,Công suất 1 HP - Gas R32 - Công nghệ Inverter tiết kiệm điện - Lọc bụi Nanoe-G,Phù hợp cho phòng ngủ nhỏ dưới 15m2 chạy siêu êm giúp ngủ ngon sâu giấc.
2002,Máy lạnh Panasonic Inverter 1.5 HP CU/CS-PU12ZKH-8,PANASONIC,may-lanh,13.690.000đ,Công suất 1.5 HP - Gas R32 - Có Inverter - Lọc bụi mịn,Lựa chọn xuất sắc cho phòng khách nhỏ hoặc phòng làm việc từ 15 đến 20m2.
2003,Máy lạnh Daikin Inverter 1 HP FTKB25YVMV,DAIKIN,may-lanh,10.990.000đ,Công suất 1 HP - Inverter - Phin lọc Enzyme Blue khử mùi - Chống ẩm mốc,Dòng máy siêu bền bỉ làm lạnh dễ chịu không bị buốt thích hợp cho nhà có trẻ nhỏ.
2004,Máy lạnh Daikin Inverter 1.5 HP FTKB35YVMV,DAIKIN,may-lanh,13.490.000đ,Công suất 1.5 HP - Inverter tiết kiệm điện - Luồng gió Coanda làm lạnh nhanh,Làm mát đều khắp phòng dung tích 15-20m2 không thổi trực tiếp vào người gây cảm lạnh.
2005,Máy lạnh Casper 1 HP TC-09IS35,CASPER,may-lanh,5.990.000đ,Công suất 1 HP - Có Inverter - Làm lạnh nhanh Turbo - Gas R32,Dòng máy giá rẻ quốc dân làm lạnh cực nhanh phù hợp cho sinh viên hoặc phòng trọ nhỏ dưới 15m2.
2006,Máy lạnh Casper 1.5 HP TC-12IS35,CASPER,may-lanh,7.990.000đ,Công suất 1.5 HP - Có Inverter - Tự làm sạch iClean,Giá bình dân công suất lớn làm mát tốt cho phòng từ 15-20m2 tiết kiệm chi phí đầu tư.
2007,Máy lạnh Toshiba Inverter 1 HP RAS-H10Z1KCVG-V,TOSHIBA,may-lanh,9.490.000đ,Công suất 1 HP - Inverter - Công nghệ chống bám bẩn Magic Coil - Lọc bụi tinh thể bạc,Máy tự làm sạch lá nhôm giúp không khí luôn trong lành và không bị mùi hôi.
2008,Máy lạnh Toshiba Inverter 1.5 HP RAS-H13Z1KCVG-V,TOSHIBA,may-lanh,11.990.000đ,Công suất 1.5 HP - Eco tiết kiệm điện - Magic Coil,Làm lạnh khỏe cho phòng 15-20m2 độ bền cực cao ít hỏng vặt.
2009,Máy lạnh LG Inverter 1 HP V10WIN,LG,may-lanh,9.290.000đ,Công suất 1 HP - Dual Inverter tiết kiệm 70% điện - Kiểm soát năng lượng Energy Ctrl,Tùy chỉnh được công suất máy theo số người trong phòng để tiết kiệm điện tối đa.
2010,Máy lạnh LG Inverter 1.5 HP V13WIN,LG,may-lanh,11.490.000đ,Công suất 1.5 HP - Dual Inverter - Màng lọc sơ cấp chống dị ứng,Phù hợp phòng 15-20m2 máy chạy êm và tối ưu hóa hóa đơn tiền điện cuối tháng.
2011,Điện thoại iPhone 15 Pro Max 256GB,APPLE,dien-thoai,29.990.000đ,Màn hình 6.7 inch - Chip A17 Pro - Camera 48MP zoom 5x - Khung viền Titanium,Siêu phẩm cao cấp nhất chơi mượt mọi game nặng và quay phim chụp ảnh chuẩn studio.
2012,Điện thoại iPhone 15 128GB,APPLE,dien-thoai,19.990.000đ,Màn hình 6.1 inch - Dynamic Island - Chip A16 Bionic - Camera 48MP,Thiết kế nhỏ gọn thời thượng màu sắc trẻ trung hiệu năng mạnh mẽ dùng mượt 4-5 năm.
2013,Điện thoại iPhone 13 128GB,APPLE,dien-thoai,13.990.000đ,Màn hình 6.1 inch - Chip A15 Bionic - Pin trâu - Camera chéo 12MP,Dòng iPhone quốc dân giá cực tốt ở thời điểm hiện tại đáp ứng hoàn hảo mọi nhu cầu.
2014,Điện thoại Samsung Galaxy S24 Ultra 256GB,SAMSUNG,dien-thoai,26.990.000đ,Màn hình 6.8 inch - Chip Snapdragon 8 Gen 3 - Bút S-Pen - Tính năng Galaxy AI,Trùm cuối Android hỗ trợ dịch thuật trực tiếp khoanh vùng tìm kiếm thông minh bằng AI.
2015,Điện thoại Samsung Galaxy A55 5G,SAMSUNG,dien-thoai,9.990.000đ,Màn hình 6.6 inch 120Hz - Khung viền kim loại - Kháng nước IP67 - Pin 5000 mAh,Phân khúc tầm trung thiết kế đẹp như dòng cao cấp pin dùng thoải mái cả ngày dài.
2016,Điện thoại Samsung Galaxy A15 128GB,SAMSUNG,dien-thoai,4.290.000đ,Màn hình Super AMOLED 6.5 inch - Pin 5000 mAh - Sạc nhanh 25W,Màn hình đẹp rực rỡ giá rẻ phù hợp cho học sinh sinh viên hoặc người lớn tuổi đọc báo.
2017,Điện thoại Oppo Reno11 F 5G,OPPO,dien-thoai,8.490.000đ,Màn hình 6.7 inch tràn viền - Camera chuyên gia chân dung 64MP - Sạc siêu nhanh 67W,Chuyên gia chụp ảnh sống ảo thiết kế mặt lưng vân kim cương bắt mắt sạc pin vèo vèo.
2018,Điện thoại Oppo A38 128GB,OPPO,dien-thoai,3.990.000đ,Màn hình 90Hz - Sạc nhanh SuperVOOC 33W - Camera 50MP - Pin 5000 mAh,Điện thoại giá rẻ cấu hình ổn định sạc nhanh vượt trội so với các đối thủ cùng tầm giá.
2019,Điện thoại Xiaomi Redmi Note 13 128GB,XIAOMI,dien-thoai,4.590.000đ,Màn hình AMOLED 120Hz viền mỏng - Camera 108MP - Chip Snapdragon 685,Cấu hình hủy diệt tầm giá màn hình siêu mượt chụp ảnh chi tiết cực cao.
2020,Điện thoại Vivo V30e 5G,VIVO,dien-thoai,9.490.000đ,Màn hình cong 3D - Aura Light 3.0 điều chỉnh nhiệt độ màu - Pin 5500 mAh,Thiết kế mỏng nhẹ sang trọng đèn flash aura chụp đêm mịn da không bị lóa sáng.
2021,Tủ lạnh Panasonic Inverter 322 lít NR-BC360WKVN,PANASONIC,tu-lanh,14.500.000đ,Dung tích 322L - Ngăn đá dưới - Cấp đông mềm Prime Fresh+ - Khay lấy nước ngoài,Không cần rã đông khi nấu ăn ngăn lấy nước ngoài tiện lợi tiết kiệm điện.
2022,Tủ lạnh Panasonic Inverter 188 lít NR-BA222PKV5,PANASONIC,tu-lanh,6.300.000đ,Dung tích 188L - Ngăn đá trên - Công nghệ kháng khuẩn Ag Clean - Econavi,Tủ lạnh nhỏ gọn cho gia đình 2-3 người tiết kiệm điện thông minh bằng cảm biến.
2023,Tủ lạnh Samsung Inverter 276 lít RB27N4010S8/SV,SAMSUNG,tu-lanh,9.200.000đ,Dung tích 276L - Ngăn đá dưới - Làm lạnh vòm All-around Cooling - Bộ lọc than hoạt tính,Ngăn đá dưới không phải cúi người khi lấy rau củ khử mùi thức ăn cực tốt.
2024,Tủ lạnh Samsung Side By Side 655 lít RS64R5301B4/SV,SAMSUNG,tu-lanh,22.900.000đ,Dung tích Side by Side 655L - Công nghệ SpaceMax viền siêu mỏng - Làm đá tự động,Tủ khổng lồ cho gia đình trên 5 người thiết kế sang trọng đẳng cấp phòng bếp.
2025,Tủ lạnh Aqua Inverter 260 lít AQR-I298EB BS,AQUA,tu-lanh,7.500.000đ,Dung tích 260L - Ngăn tùy biến nhiệt độ Magic Room - Kháng khuẩn DEO Fresh,Ngăn chỉnh nhiệt độ từ âm 18 đến dương 5 độ linh hoạt theo nhu cầu lưu trữ.
2026,Tủ lạnh Aqua 90 lít AQR-D99FA BS,AQUA,tu-lanh,2.890.000đ,Dung tích mini 90L - Ngăn đá có nắp đậy - Khay kính chịu lực,Tủ lạnh mini nhỏ gọn thích hợp cho phòng trọ sinh viên hoặc để trong phòng ngủ.
2027,Tủ lạnh LG Inverter 315 lít GN-D312BL,LG,tu-lanh,10.400.000đ,Dung tích 315L - Lấy nước ngoài DoorBasket - Làm lạnh từ cửa tủ Door Cooling,Hơi lạnh tỏa đều từ cửa giúp nước uống và thực phẩm ở cánh tủ luôn mát lạnh sâu.
2028,Tủ lạnh LG French Door 494 lít GR-B50BL,LG,tu-lanh,21.500.000đ,Dung tích 494L - Thiết kế 4 cửa French Door - Bộ lọc không khí Hygiene Fresh+,Thiết kế thời thượng ngăn chứa rộng rãi bộ lọc kháng khuẩn bảo vệ sức khỏe.
2029,Tủ lạnh Toshiba Inverter 180 lít GR-RT234WE-PMV(52),TOSHIBA,tu-lanh,5.190.000đ,Dung tích 180L - Công nghệ Airfall Cooling làm lạnh nhanh - Ngăn Chilling Room,Làm lạnh đa chiều giữ rau củ tươi ngon lâu giá thành cực kỳ dễ tiếp cận.
2030,Tủ lạnh Toshiba Inverter 515 lít GR-RF610WE-PMV(37)-SG,TOSHIBA,tu-lanh,18.990.000đ,Dung tích 515L - 4 cửa - Bề mặt satin chống bám vân tay - Dual Cooling 2 dàn lạnh độc lập,Không bị lẫn mùi giữa ngăn đá và ngăn mát thiết kế mặt gương cực sang.
2031,Laptop Asus Vivobook X1504VA-NJ525W,ASUS,laptop,14.290.000đ,Core i5 1335U - RAM 16GB - SSD 512GB - Màn hình 15.6 inch FHD,Cấu hình văn phòng học tập hoàn hảo RAM 16GB đa nhiệm mượt mà không lo giật lag.
2032,Laptop Asus ROG Strix G16 G614JV-N3038W,ASUS,laptop,34.990.000đ,Core i7 13650HX - RAM 16GB - RTX 4060 - Màn hình 16 inch 165Hz,Quái vật đồ họa chuyên trị các tựa game AAA cấu hình cao và dựng phim 3D chuyên nghiệp.
2033,Laptop HP Pavilion 14-dv2073TU,HP,laptop,15.890.000đ,Core i5 1235U - RAM 8GB - SSD 512GB - Vỏ nhôm sang trọng - Màn hình 14 inch,Thiết kế mỏng nhẹ vỏ nhôm thời trang thích hợp cho dân công sở hay phải di chuyển.
2034,Laptop HP VICTUS 16-r0129TX,HP,laptop,23.490.000đ,Core i5 13500H - RAM 16GB - RTX 3050 - Màn hình 16.1 inch 144Hz,Laptop gaming phân khúc tầm trung tản nhiệt mát mẻ màn hình lớn trải nghiệm game đã mắt.
2035,Laptop Acer Aspire 3 A315-510P-32EF,ACER,laptop,8.990.000đ,Core i3 N305 - RAM 8GB - SSD 256GB - Màn hình 15.6 inch,Laptop giá rẻ phục vụ tốt nhu cầu học online xem phim lướt web làm Word Excel cơ bản.
2036,Laptop Acer Nitro V ANV15-51-57T4,ACER,laptop,21.990.000đ,Core i5 13420H - RAM 16GB - RTX 4050 - Màn hình 144Hz,Thiết kế đậm chất gaming hiệu năng đồ họa cực mạnh mẽ trong tầm giá quanh 20 triệu.
2037,Laptop Lenovo IdeaPad Slim 3 14IAH8,LENOVO,laptop,12.490.000đ,Core i5 12450H - RAM 8GB - SSD 512GB - Độ bền chuẩn quân đội,Chip dòng H hiệu năng cao máy bền bỉ chống va đập tốt phù hợp cho học sinh sinh viên.
2038,Laptop Lenovo Legion 5 16IRX9,LENOVO,laptop,36.990.000đ,Core i7 14650HX - RAM 16GB - RTX 4060 - Màn hình 2K 165Hz,Vua laptop gaming màn hình siêu nét tản nhiệt đỉnh cao bàn phím gõ sướng nhất phân khúc.
2039,MacBook Air M1 2020 8GB RAM,APPLE,laptop,18.490.000đ,Chip Apple M1 - RAM 8GB - SSD 256GB - Màn hình Retina 13.3 inch,Thời lượng pin lên tới 15 tiếng máy siêu mỏng nhẹ chạy mượt mà ổn định không tiếng ồn.
2040,MacBook Air M3 2024 16GB RAM,APPLE,laptop,32.490.000đ,Chip Apple M3 mới nhất - RAM 16GB - SSD 512GB - Màn hình Liquid Retina,Hiệu năng vượt trội xử lý video 4K mượt mà thời lượng pin trâu cân cả ngày làm việc.
2041,Tai nghe Bluetooth True Wireless Sony WF-C500,SONY,tai-nghe,1.690.000đ,Bluetooth 5.0 - Pin 10 tiếng - Kháng nước IPX4 - Công nghệ âm thanh DSEE,Tai nghe nhỏ gọn chất âm ấm áp bass lực chống nước tốt khi tập thể thao.
2042,Tai nghe Bluetooth Sony WH-1000XM5,SONY,tai-nghe,6.990.000đ,Tai nghe chụp tai - Chống ồn chủ động ANC đỉnh cao - Pin 30 tiếng - Hi-Res Audio,Trùm cuối chống ồn cách ly hoàn toàn tạp âm bên ngoài chất âm chi tiết siêu cao cấp.
2043,Tai nghe Bluetooth True Wireless AirPods 2,APPLE,tai-nghe,2.790.000đ,Chip H1 - Kết nối siêu tốc - Pin 5 tiếng - Dock sạc có dây,Tai nghe quốc dân đeo thoải mái không bị bí tai kết nối cực mượt với iPhone.
2044,Tai nghe Bluetooth True Wireless AirPods Pro Gen 2 (MagSafe USB-C),APPLE,tai-nghe,5.690.000đ,Chống ồn chủ động ANC gấp 2 lần - Xuyên âm thông minh - Cổng sạc USB-C,Chống ồn cực tốt tích hợp âm thanh vòm sống động như trong rạp phim.
2045,Tai nghe Bluetooth True Wireless Samsung Galaxy Buds2 Pro,SAMSUNG,tai-nghe,3.290.000đ,Âm thanh vòm 360 độ - Chống ồn chủ động thông minh ANC - Kháng nước IPX7,Thiết kế công thái học vừa vặn tai chống nước cực đỉnh thoải mái vận động mạnh.
2046,Tai nghe chụp tai Gaming Asus ROG Cetra True Wireless,ASUS,tai-nghe,1.890.000đ,Kết nối độ trễ siêu thấp Gaming Mode - Chống ồn ANC - Pin 27 tiếng,Tai nghe dành riêng cho game thủ không bị hoãn âm thanh khi bắn game sinh tồn.
2047,Tai nghe Bluetooth True Wireless JBL Wave Beam,JBL,tai-nghe,1.290.000đ,Công nghệ âm thanh JBL Deep Bass - Pin 32 tiếng - Sạc nhanh,Chất âm thiên bass sôi động phù hợp cho các bạn trẻ thích nghe nhạc EDM Remix.
2048,Tai nghe chụp tai JBL Tune 520BT,JBL,tai-nghe,1.090.000đ,Tai nghe chụp tai - Pin khủng 57 tiếng - Sạc nhanh 5 phút dùng 3 tiếng,Thời lượng pin vô địch thiết kế gập gọn nhẹ nhàng chất âm mạnh mẽ đặc trưng JBL.
2049,Tai nghe có dây chụp tai Sony MDR-ZX110AP,SONY,tai-nghe,390.000đ,Kết nối jack 3.5mm - Có micro đàm thoại - Thiết kế gấp gọn,Tai nghe chụp tai giá rẻ âm thanh rõ ràng có mic thích hợp học trực tuyến hoặc gọi điện.
2050,Tai nghe chụp tai Gaming Logitech G102 Lightsync,LOGITECH,tai-nghe,450.000đ,Kết nối jack 3.5mm - Thiết kế gaming ôm trọn tai - Đệm tai êm ái,Tai nghe chụp tai giá rẻ cho game thủ cách âm tốt đệm tai mềm không bị đau khi đeo lâu.